"shape","error"
"rectangle",0.0651709401709402
"square",0.0747863247863248
"isoTrapezoid",0.150793650793651
"parallelogram",0.178266178266178
"losange",0.214285714285714
"kite",0.230006105006105
"rightKite",0.256715506715507
"rustedHinge",0.284696784696785
"hinge",0.302808302808303
"trapezoid",0.357244607244607
"random",0.421560846560847
