"subject_id","run","onset","requested_onset","delta_onset","shape_name","pressed","shouldhavepressed","correct","rt","outlier_location","rots","dils","outlier_type","onset_press"
"301","1",200006,"200000",7,"isoTrapezoid","left_key","left_key",TRUE,1401,4,"[1, 5, 2, 4, 3, 0]","[4, 5, 1, 3, 0, 2]",4,201407
"301","1",204005,"204000",6,"isoTrapezoid","left_key","left_key",TRUE,1257,3,"[2, 5, 3, 1, 0, 4]","[5, 0, 3, 1, 2, 4]",1,205262
"301","1",214005,"214000",6,"hinge","left_key","left_key",TRUE,1195,2,"[2, 0, 4, 5, 3, 1]","[4, 1, 5, 2, 3, 0]",4,215200
"301","1",218005,"218000",6,"hinge","right_key","right_key",TRUE,911,0,"[5, 0, 1, 2, 3, 4]","[0, 4, 5, 3, 2, 1]",3,218916
"301","1",222005,"222000",6,"hinge","right_key","right_key",TRUE,999,5,"[2, 0, 4, 1, 3, 5]","[0, 4, 5, 2, 3, 1]",2,223004
"301","1",226005,"226000",6,"hinge","right_key","right_key",TRUE,1525,1,"[0, 4, 1, 2, 5, 3]","[1, 5, 2, 4, 3, 0]",1,227530
"301","1",230004,"230000",5,"hinge","left_key","left_key",TRUE,1225,4,"[2, 4, 1, 5, 0, 3]","[0, 3, 5, 1, 2, 4]",4,231229
"301","1",238004,"238000",5,"rectangle","right_key","right_key",TRUE,1148,1,"[5, 1, 2, 3, 0, 4]","[2, 4, 0, 3, 5, 1]",4,239152
"301","1",242004,"242000",5,"rectangle","right_key","right_key",TRUE,859,0,"[5, 4, 1, 2, 3, 0]","[2, 1, 4, 3, 5, 0]",1,242863
"301","1",246003,"246000",4,"rectangle","left_key","left_key",TRUE,1622,3,"[1, 4, 3, 0, 5, 2]","[3, 5, 0, 4, 2, 1]",2,247625
"301","1",250003,"250000",4,"rectangle","right_key","right_key",TRUE,818,5,"[1, 5, 0, 3, 2, 4]","[4, 1, 3, 0, 2, 5]",3,250821
"301","1",254003,"254000",4,"rectangle","left_key","left_key",TRUE,1028,4,"[2, 3, 1, 5, 4, 0]","[0, 1, 4, 3, 5, 2]",1,255031
"301","1",266003,"266000",4,"square","left_key","left_key",TRUE,864,3,"[0, 3, 5, 2, 4, 1]","[2, 4, 1, 3, 0, 5]",4,266867
"301","1",270002,"270000",3,"square","right_key","right_key",TRUE,1216,5,"[3, 2, 4, 1, 0, 5]","[3, 4, 2, 5, 1, 0]",1,271218
"301","1",274002,"274000",3,"square","left_key","left_key",TRUE,1223,2,"[1, 3, 0, 5, 2, 4]","[3, 4, 5, 1, 2, 0]",3,275225
"301","1",278002,"278000",3,"square","right_key","right_key",TRUE,1293,0,"[3, 2, 1, 0, 5, 4]","[5, 4, 0, 1, 3, 2]",2,279295
"301","1",282002,"282000",3,"square","right_key","right_key",TRUE,914,1,"[4, 0, 2, 5, 3, 1]","[4, 0, 3, 2, 1, 5]",1,282916
"301","1",292001,"292000",2,"losange","right_key","right_key",TRUE,1675,1,"[5, 2, 1, 3, 4, 0]","[0, 3, 4, 1, 5, 2]",1,293676
"301","1",296001,"296000",2,"losange","right_key","left_key",FALSE,2182,2,"[0, 5, 4, 1, 3, 2]","[3, 5, 2, 1, 4, 0]",3,298183
"301","1",300001,"300000",2,"losange","left_key","right_key",FALSE,2778,0,"[0, 2, 5, 4, 1, 3]","[2, 4, 0, 3, 5, 1]",2,302779
"301","1",304001,"304000",2,"losange","right_key","left_key",FALSE,1115,4,"[4, 2, 5, 3, 0, 1]","[0, 5, 2, 1, 4, 3]",4,305116
"301","1",308001,"308000",2,"losange","left_key","left_key",TRUE,1192,3,"[2, 3, 1, 4, 5, 0]","[3, 4, 5, 1, 2, 0]",3,309193
"301","2",6000,"6000",1,"square","left_key","left_key",TRUE,882,4,"[0, 4, 1, 3, 2, 5]","[0, 4, 1, 2, 3, 5]",3,6882
"301","2",10008,"10000",9,"square","left_key","left_key",TRUE,1220,3,"[5, 2, 0, 1, 3, 4]","[2, 0, 5, 3, 4, 1]",4,11228
"301","2",14008,"14000",9,"square","left_key","left_key",TRUE,1260,2,"[5, 1, 0, 2, 4, 3]","[1, 2, 5, 4, 0, 3]",2,15268
"301","2",18008,"18000",8,"square","right_key","right_key",TRUE,920,1,"[2, 4, 3, 0, 5, 1]","[0, 3, 5, 1, 2, 4]",1,18928
"301","2",22007,"22000",8,"square","right_key","right_key",TRUE,904,5,"[3, 1, 5, 2, 4, 0]","[2, 3, 1, 4, 5, 0]",2,22911
"301","2",34007,"34000",8,"rectangle","left_key","left_key",TRUE,1273,2,"[4, 2, 0, 1, 5, 3]","[1, 2, 5, 0, 4, 3]",2,35280
"301","2",38007,"38000",8,"rectangle","right_key","right_key",TRUE,882,1,"[4, 1, 5, 0, 2, 3]","[0, 4, 5, 1, 2, 3]",3,38889
"301","2",42006,"42000",7,"rectangle","right_key","right_key",TRUE,2029,5,"[0, 4, 5, 2, 1, 3]","[3, 1, 4, 0, 5, 2]",4,44035
"301","2",46006,"46000",7,"rectangle","left_key","left_key",TRUE,1339,3,"[0, 1, 5, 4, 3, 2]","[5, 3, 2, 4, 1, 0]",1,47345
"301","2",50006,"50000",7,"rectangle","right_key","right_key",TRUE,826,0,"[1, 2, 4, 0, 5, 3]","[4, 0, 2, 3, 1, 5]",2,50832
"301","2",60006,"60000",7,"hinge","right_key","right_key",TRUE,783,5,"[1, 0, 4, 3, 5, 2]","[3, 1, 5, 2, 4, 0]",2,60789
"301","2",64006,"64000",7,"hinge","right_key","right_key",TRUE,1846,1,"[5, 3, 0, 2, 1, 4]","[2, 3, 1, 5, 4, 0]",3,65852
"301","2",68005,"68000",6,"hinge","right_key","right_key",TRUE,1206,0,"[5, 0, 1, 4, 2, 3]","[0, 5, 2, 4, 3, 1]",1,69211
"301","2",72005,"72000",6,"hinge","left_key","left_key",TRUE,943,3,"[0, 2, 1, 4, 3, 5]","[2, 1, 0, 4, 5, 3]",4,72948
"301","2",76005,"76000",6,"hinge","right_key","left_key",FALSE,2687,4,"[0, 2, 5, 1, 4, 3]","[1, 4, 2, 5, 0, 3]",1,78692
"301","2",84005,"84000",6,"random","right_key","left_key",FALSE,1494,3,"[1, 3, 4, 2, 0, 5]","[1, 2, 3, 4, 5, 0]",4,85499
"301","2",88004,"88000",5,"random","right_key","right_key",TRUE,1361,5,"[5, 0, 1, 2, 3, 4]","[4, 1, 5, 0, 3, 2]",1,89365
"301","2",92004,"92000",5,"random","right_key","left_key",FALSE,1562,4,"[1, 2, 5, 4, 0, 3]","[2, 5, 1, 4, 0, 3]",3,93566
"301","2",96004,"96000",5,"random","left_key","left_key",TRUE,1167,2,"[0, 4, 5, 1, 2, 3]","[1, 2, 3, 0, 5, 4]",2,97171
"301","2",100004,"100000",5,"random","left_key","right_key",FALSE,1620,1,"[3, 5, 0, 4, 2, 1]","[1, 5, 2, 3, 0, 4]",1,101624
"301","2",110003,"110000",4,"losange","left_key","left_key",TRUE,1859,4,"[1, 0, 3, 5, 4, 2]","[1, 0, 5, 2, 3, 4]",1,111862
"301","2",114003,"114000",4,"losange","left_key","left_key",TRUE,3364,3,"[4, 5, 3, 0, 1, 2]","[2, 4, 0, 1, 3, 5]",2,117367
"301","2",118003,"118000",4,"losange","left_key","left_key",TRUE,2195,2,"[5, 4, 1, 0, 3, 2]","[3, 2, 1, 4, 0, 5]",3,120198
"301","2",122003,"122000",4,"losange","left_key","right_key",FALSE,1335,5,"[1, 3, 4, 2, 0, 5]","[3, 0, 4, 2, 5, 1]",4,123338
"301","2",126003,"126000",4,"losange","right_key","right_key",TRUE,1549,1,"[4, 3, 0, 1, 2, 5]","[1, 3, 0, 5, 4, 2]",1,127552
"301","2",138002,"138000",3,"isoTrapezoid","right_key","right_key",TRUE,1392,0,"[0, 4, 1, 2, 3, 5]","[5, 4, 3, 2, 1, 0]",3,139394
"301","2",142002,"142000",3,"isoTrapezoid","left_key","left_key",TRUE,1594,3,"[3, 5, 0, 4, 2, 1]","[5, 2, 1, 0, 4, 3]",2,143596
"301","2",146002,"146000",3,"isoTrapezoid","left_key","left_key",TRUE,1811,2,"[4, 1, 2, 0, 3, 5]","[0, 4, 3, 2, 5, 1]",1,147813
"301","2",150002,"150000",3,"isoTrapezoid","left_key","right_key",FALSE,2366,5,"[4, 0, 3, 2, 5, 1]","[2, 1, 4, 0, 5, 3]",4,152368
"301","2",154001,"154000",2,"isoTrapezoid","right_key","right_key",TRUE,1663,1,"[5, 2, 1, 4, 3, 0]","[5, 2, 3, 1, 0, 4]",3,155664
"301","2",162001,"162000",2,"rectangle","right_key","right_key",TRUE,965,0,"[5, 2, 3, 1, 4, 0]","[5, 1, 2, 3, 0, 4]",2,162966
"301","2",166001,"166000",2,"rectangle","right_key","right_key",TRUE,1340,1,"[5, 4, 0, 3, 1, 2]","[3, 0, 2, 1, 4, 5]",1,167341
"301","2",170001,"170000",2,"rectangle","left_key","left_key",TRUE,1037,3,"[2, 0, 1, 3, 4, 5]","[1, 2, 4, 5, 0, 3]",3,171038
"301","2",174001,"174000",2,"rectangle","left_key","left_key",TRUE,1621,4,"[0, 2, 3, 1, 5, 4]","[4, 0, 3, 1, 2, 5]",4,175622
"301","2",178000,"178000",1,"rectangle","left_key","left_key",TRUE,1680,2,"[4, 3, 5, 2, 1, 0]","[4, 0, 3, 1, 5, 2]",2,179680
"301","2",186000,"186000",1,"random","right_key","right_key",TRUE,2565,0,"[3, 0, 4, 1, 5, 2]","[0, 4, 2, 5, 1, 3]",3,188565
"301","2",190000,"190000",1,"random","left_key","left_key",TRUE,2291,3,"[3, 5, 2, 0, 1, 4]","[0, 1, 3, 4, 5, 2]",4,192291
"301","2",194008,"194000",9,"random","left_key","left_key",TRUE,1343,2,"[4, 1, 0, 5, 2, 3]","[3, 4, 5, 2, 1, 0]",1,195351
"301","2",198008,"198000",9,"random","right_key","left_key",FALSE,2504,4,"[3, 1, 4, 5, 0, 2]","[2, 1, 3, 4, 5, 0]",2,200512
"301","2",202007,"202000",8,"random","right_key","right_key",TRUE,1691,1,"[2, 5, 4, 3, 0, 1]","[2, 1, 4, 0, 3, 5]",3,203698
"301","2",212007,"212000",8,"square","left_key","left_key",TRUE,2003,2,"[1, 0, 5, 3, 2, 4]","[2, 1, 4, 0, 3, 5]",2,214010
