"subject_id","run","onset","requested_onset","delta_onset","shape_name","pressed","shouldhavepressed","correct","rt","outlier_location","rots","dils","outlier_type","onset_press"
"204","1",204005,204000,6,"square","right_key","right_key",TRUE,577,5,"[3, 0, 5, 4, 1, 2]","[3, 4, 5, 1, 0, 2]","1",204582
"204","1",212005,212000,6,"losange","left_key","left_key",TRUE,1012,3,"[4, 5, 3, 1, 2, 0]","[2, 0, 1, 3, 5, 4]","1",213017
"204","1",216005,216000,6,"losange","right_key","left_key",FALSE,1528,2,"[0, 1, 3, 4, 5, 2]","[3, 4, 2, 1, 5, 0]","2",217533
"204","1",220005,220000,5,"losange","right_key","right_key",TRUE,829,0,"[3, 2, 1, 0, 4, 5]","[5, 4, 1, 0, 3, 2]","3",220834
"204","1",224005,224000,5,"losange","right_key","right_key",TRUE,750,5,"[4, 0, 2, 1, 3, 5]","[5, 3, 2, 1, 4, 0]","4",224755
"204","1",228004,228000,5,"losange","right_key","right_key",TRUE,1949,1,"[3, 0, 2, 4, 1, 5]","[2, 4, 5, 1, 3, 0]","2",229953
"204","1",238004,238000,5,"hinge","left_key","left_key",TRUE,1778,2,"[2, 4, 0, 5, 1, 3]","[2, 0, 5, 3, 4, 1]","3",239782
"204","1",242004,242000,5,"hinge","right_key","right_key",TRUE,1536,0,"[4, 3, 0, 5, 2, 1]","[1, 2, 5, 0, 3, 4]","2",243540
"204","1",246003,246000,4,"hinge","left_key","left_key",TRUE,1695,4,"[0, 5, 4, 3, 2, 1]","[1, 0, 2, 3, 5, 4]","1",247698
"204","1",250003,250000,4,"hinge","right_key","right_key",TRUE,1695,5,"[4, 2, 1, 3, 0, 5]","[1, 0, 5, 2, 4, 3]","4",251698
"204","1",254003,254000,4,"hinge","left_key","right_key",FALSE,1653,1,"[2, 1, 0, 5, 3, 4]","[1, 5, 0, 2, 3, 4]","2",255656
"204","1",266003,266000,4,"random","right_key","right_key",TRUE,1856,0,"[4, 3, 5, 2, 0, 1]","[5, 0, 2, 3, 4, 1]","3",267859
"204","1",270002,270000,3,"random","right_key","right_key",TRUE,2284,1,"[4, 3, 5, 2, 1, 0]","[4, 2, 0, 1, 3, 5]","2",272286
"204","1",274002,274000,3,"random","left_key","left_key",TRUE,1470,2,"[4, 2, 3, 0, 1, 5]","[3, 5, 2, 4, 1, 0]","4",275472
"204","1",278002,278000,3,"random","left_key","left_key",TRUE,1962,3,"[3, 4, 0, 2, 1, 5]","[4, 5, 1, 3, 0, 2]","1",279964
"204","1",282002,282000,3,"random","left_key","left_key",TRUE,2206,4,"[1, 0, 4, 5, 2, 3]","[2, 4, 3, 1, 0, 5]","3",284208
"204","1",290002,290000,2,"isoTrapezoid","left_key","left_key",TRUE,1566,3,"[1, 0, 4, 3, 5, 2]","[1, 4, 5, 3, 2, 0]","4",291568
"204","1",294001,294000,2,"isoTrapezoid","right_key","right_key",TRUE,1822,0,"[4, 2, 0, 1, 5, 3]","[3, 4, 0, 5, 2, 1]","3",295823
"204","1",298001,298000,2,"isoTrapezoid","right_key","right_key",TRUE,949,1,"[0, 1, 5, 3, 2, 4]","[4, 3, 2, 1, 0, 5]","1",298950
"204","1",302001,302000,2,"isoTrapezoid","right_key","right_key",TRUE,1352,5,"[4, 2, 5, 3, 1, 0]","[5, 3, 1, 4, 2, 0]","2",303353
"204","1",306001,306000,2,"isoTrapezoid","right_key","left_key",FALSE,2217,4,"[1, 4, 5, 0, 2, 3]","[3, 4, 0, 1, 5, 2]","4",308218
"204","2",6006,6000,7,"isoTrapezoid","left_key","left_key",TRUE,1182,2,"[4, 2, 0, 3, 5, 1]","[2, 0, 3, 1, 4, 5]","1",7188
"204","2",10006,10000,7,"isoTrapezoid","right_key","right_key",TRUE,1878,5,"[4, 0, 2, 1, 5, 3]","[2, 1, 0, 3, 5, 4]","2",11884
"204","2",14005,14000,6,"isoTrapezoid","left_key","left_key",TRUE,882,4,"[1, 5, 3, 0, 4, 2]","[4, 1, 0, 3, 2, 5]","3",14887
"204","2",18005,18000,6,"isoTrapezoid","right_key","right_key",TRUE,1020,1,"[5, 2, 4, 1, 3, 0]","[4, 2, 5, 3, 1, 0]","4",19025
