,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.004556102887483862,0.005060542896542829,0.013116832579391408,0.020702844313834665,0.004336410509116382,0.0030411402272598163,0.009356358216069326,0.007892352512163905,0.007603659186283625,0.01448052531117019
rectangle,0.004556102887483862,0.0,0.015170082026321686,0.006600213000132478,0.016977598573439428,0.010367243391165622,0.008710483157324806,0.008160283748856053,0.0051227862416395025,0.011598816296078462,0.01995706200510909
isoTrapezoid,0.005060542896542829,0.015170082026321686,0.0,0.01899453193648921,0.02271858834501447,0.006828490766551454,0.005144342915561063,0.01758284620093344,0.016821745509866717,0.007984112079538684,0.011783540367757337
parallelogram,0.013116832579391408,0.006600213000132478,0.01899453193648921,0.0,0.005930236996280681,0.018845756660018084,0.014005995873443637,0.0129377247494146,0.00869170694324756,0.00877822845714231,0.015532183310026239
losange,0.020702844313834665,0.016977598573439428,0.02271858834501447,0.005930236996280681,0.0,0.025698697506989984,0.020592742003251306,0.0177664772040863,0.015654446243420623,0.01024323675787214,0.012765644651259038
kite,0.004336410509116382,0.010367243391165622,0.006828490766551454,0.018845756660018084,0.025698697506989984,0.0,0.0033299350967244306,0.017178163789309947,0.016286684846882865,0.015474009769702481,0.021376507378132965
rightKite,0.0030411402272598163,0.008710483157324806,0.005144342915561063,0.014005995873443637,0.020592742003251306,0.0033299350967244306,0.0,0.01583590595871725,0.014255695901549454,0.00821373199332752,0.016388010239671475
rustedHinge,0.009356358216069326,0.008160283748856053,0.01758284620093344,0.0129377247494146,0.0177664772040863,0.017178163789309947,0.01583590595871725,0.0,0.0008106728168796567,0.013897198182716525,0.01639242219903444
hinge,0.007892352512163905,0.0051227862416395025,0.016821745509866717,0.00869170694324756,0.015654446243420623,0.016286684846882865,0.014255695901549454,0.0008106728168796567,0.0,0.011817702034354675,0.01562804548441803
trapezoid,0.007603659186283625,0.011598816296078462,0.007984112079538684,0.00877822845714231,0.01024323675787214,0.015474009769702481,0.00821373199332752,0.013897198182716525,0.011817702034354675,0.0,0.004419159137186128
random,0.01448052531117019,0.01995706200510909,0.011783540367757337,0.015532183310026239,0.012765644651259038,0.021376507378132965,0.016388010239671475,0.01639242219903444,0.01562804548441803,0.004419159137186128,0.0
