,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.000541093896457718,0.0002574128802672785,0.0008066963777019957,0.0012268904004926965,0.00013084081842994682,7.549768684290941e-05,0.0005225815708094398,0.0005637455636548687,0.0003353429846456976,0.0007015204708354225
rectangle,0.000541093896457718,0.0,0.0009869876936861033,0.0002483999216438724,0.0006612427156228972,0.0006255877159993437,0.0006142704518832345,0.00023705474376376444,0.00016504594262096173,0.0006745489793037847,0.0010293132369317043
isoTrapezoid,0.0002574128802672785,0.0009869876936861033,0.0,0.0010695396120754133,0.001196401141674433,0.00024098805094346126,0.00024438622441971304,0.000884592979771388,0.0009785605264302376,0.00036497162953778774,0.0005619624433374187
parallelogram,0.0008066963777019957,0.0002483999216438724,0.0010695396120754133,0.0,0.0002695999601079956,0.0008936108455207831,0.0007642197692636224,0.00035316344325211403,0.00032899171811668585,0.000625220918668332,0.0009288615947616535
losange,0.0012268904004926965,0.0006612427156228972,0.001196401141674433,0.0002695999601079956,0.0,0.00120050777675254,0.0011119606053349117,0.0005043640919037384,0.0005279142398615922,0.00071427599090021,0.0006920807407151624
kite,0.00013084081842994682,0.0006255877159993437,0.00024098805094346126,0.0008936108455207831,0.00120050777675254,0.0,0.00011006580501455774,0.0007329426659509537,0.0007758222066581019,0.0005393992926233365,0.0008528556635813162
rightKite,7.549768684290941e-05,0.0006142704518832345,0.00024438622441971304,0.0007642197692636224,0.0011119606053349117,0.00011006580501455774,0.0,0.0006604304469694522,0.000706470833093679,0.0002902370291609485,0.0007603257170997259
rustedHinge,0.0005225815708094398,0.00023705474376376444,0.000884592979771388,0.00035316344325211403,0.0005043640919037384,0.0007329426659509537,0.0006604304469694522,0.0,-7.562676218574067e-05,0.0005975286968137974,0.000724346739949951
hinge,0.0005637455636548687,0.00016504594262096173,0.0009785605264302376,0.00032899171811668585,0.0005279142398615922,0.0007758222066581019,0.000706470833093679,-7.562676218574067e-05,0.0,0.0006213207800531106,0.0008269977412212459
trapezoid,0.0003353429846456976,0.0006745489793037847,0.00036497162953778774,0.000625220918668332,0.00071427599090021,0.0005393992926233365,0.0002902370291609485,0.0005975286968137974,0.0006213207800531106,0.0,0.000302449504081863
random,0.0007015204708354225,0.0010293132369317043,0.0005619624433374187,0.0009288615947616535,0.0006920807407151624,0.0008528556635813162,0.0007603257170997259,0.000724346739949951,0.0008269977412212459,0.000302449504081863,0.0
